name,count,gender,area,age
Maria,68092,female,flanders,65-inf
Marc,30739,male,flanders,18-64
Patrick,30061,male,flanders,18-64
Peter,29762,male,flanders,18-64
Bart,28465,male,flanders,18-64
Luc,27587,male,flanders,18-64
Jan,27395,male,flanders,18-64
Dirk,26719,male,flanders,18-64
Marie,26118,female,flanders,65-inf
Johan,24997,male,flanders,18-64
Ann,24537,female,flanders,18-64
Tom,23995,male,flanders,18-64
Marie,22052,female,wallonia,65-inf
Philippe,21791,male,wallonia,18-64
Jean,21285,male,wallonia,65-inf
Nathalie,20400,female,wallonia,18-64
Geert,20188,male,flanders,18-64
Martine,19656,female,flanders,18-64
Rita,19418,female,flanders,65-inf
Willy,19207,male,flanders,65-inf
Marleen,18702,female,flanders,18-64
Marie,18448,female,wallonia,18-64
Maria,18373,female,flanders,18-64
Isabelle,18264,female,wallonia,18-64
Wim,17733,male,flanders,18-64
Els,17247,female,flanders,18-64
Hilde,16843,female,flanders,18-64
Nathalie,16367,female,flanders,18-64
Nicolas,16363,male,wallonia,18-64
Jean,16277,male,flanders,65-inf
Steven,16271,male,flanders,18-64
Jozef,16256,male,flanders,65-inf
Sofie,16007,female,flanders,18-64
Olivier,15798,male,wallonia,18-64
Monique,15660,female,flanders,65-inf
Christophe,15623,male,wallonia,18-64
Nancy,15589,female,flanders,18-64
Kevin,15410,male,flanders,18-64
Roger,15271,male,flanders,65-inf
Katrien,15166,female,flanders,18-64
Koen,14955,male,flanders,18-64
Frédéric,14681,male,wallonia,18-64
Carine,14677,female,flanders,18-64
David,14644,male,flanders,18-64
Alain,14493,male,wallonia,18-64
Michel,14377,male,wallonia,18-64
David,14131,male,wallonia,18-64
Eric,14122,male,wallonia,18-64
Ingrid,14120,female,flanders,18-64
Thomas,13940,male,flanders,18-64
André,13907,male,flanders,65-inf
Michel,13848,male,wallonia,65-inf
Véronique,13830,female,wallonia,18-64
Linda,13658,female,flanders,18-64
Paul,13626,male,flanders,65-inf
Jean,13458,male,wallonia,18-64
Danny,13448,male,flanders,18-64
Marc,13258,male,flanders,65-inf
Sarah,12981,female,flanders,18-64
Christiane,12952,female,flanders,65-inf
Pierre,12843,male,wallonia,18-64
Marc,12755,male,wallonia,18-64
Godelieve,12507,female,flanders,65-inf
Stijn,12506,male,flanders,18-64
Frank,12473,male,flanders,18-64
Pieter,12424,male,flanders,18-64
Vincent,12344,male,wallonia,18-64
Pascal,12316,male,wallonia,18-64
Patrick,12304,male,wallonia,18-64
Sandra,12257,female,flanders,18-64
Christine,12162,female,wallonia,18-64
Sébastien,12123,male,wallonia,18-64
Valérie,12100,female,wallonia,18-64
Anne,12038,female,wallonia,18-64
Laurent,12019,male,wallonia,18-64
Filip,11798,male,flanders,18-64
Inge,11699,female,flanders,18-64
Stéphanie,11664,female,wallonia,18-64
Veerle,11645,female,flanders,18-64
Kristof,11594,male,flanders,18-64
Julien,11499,male,wallonia,18-64
Michaël,11445,male,wallonia,18-64
Cindy,11397,female,flanders,18-64
Sophie,11395,female,wallonia,18-64
Luc,11373,male,flanders,65-inf
Catherine,11330,female,wallonia,18-64
