name,"female,flanders,65-inf","female,flanders,18-64","female,flanders,0-17","female,wallonia,65-inf","female,wallonia,18-64","female,wallonia,0-17","female,brussels,65-inf","female,brussels,18-64","female,brussels,0-17","male,flanders,65-inf","male,flanders,18-64","male,flanders,0-17","male,wallonia,65-inf","male,wallonia,18-64","male,wallonia,0-17","male,brussels,65-inf","male,brussels,18-64","male,brussels,0-17"
Maria,0.656754393706377,0.17720948827420643,0.009674038901596313,0.09073148947887986,0.08102851526651109,0.005353032492907232,0.028858149943744936,0.06504657861651598,0.007233827693117881,0.0005015453867228398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278747834071425,0.2964808392783341,0.0009162848411282649,0.03024704486082357,0.12302329630095808,0.0011767026380805087,0.009018171857420291,0.022260899087621425,0.0008487691159924981
Patrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03560972245732162,0.2899414590437555,0.0014178302278511047,0.015364650020182379,0.11867335458149654,0.000858414219583322,0.004581424205641325,0.023890921594470656,0.0007619631836750834
Peter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012847277982977356,0.28705757307009916,0.0010127358770365034,0.002961046802382919,0.007050570724892229,0.0005594160082677828,0.0009066397375374412,0.005343387389316408,0.0003279335220880106
Bart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012635085703979233,0.27454787371280065,0.000733027872902612,0.0,0.002295534654616074,0.0,0.0,0.0025752426587499658,0.0
Luc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10969376313843954,0.26607947276005733,0.0005111904903136636,0.021605032043445407,0.05563295751187192,0.0007137376657209642,0.004533198687687205,0.008555206885060748,0.0002604177969522437
Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10300970634999863,0.26422761287061913,0.006134285883763964,0.002623468176704085,0.004581424205641325,0.0012345732596254517,0.0016686029212125244,0.00627896243762632,0.001215283052443804
Dirk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044917247422466625,0.25770752284322224,0.0002025471754073007,0.0006462219405851974,0.004456037858960615,0.0,0.0005111904903136636,0.002295534654616074,0.0
Marie,0.25191081558513706,0.10428286002398736,0.05715688387922208,0.21269382438484735,0.1779328710435182,0.0185282439979726,0.03761590400421298,0.03208925964667092,0.003115368459836101,0.0004050943508146014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04606501474977467,0.2410986544598236,0.0011863477416713326,0.0009645103590823841,0.022752799370753442,0.001282798777579571,0.0005208355939044874,0.004224555372780842,0.0006365768369943736
Ann,0.0018325696822565297,0.2366619068080446,0.0002893531077247152,0.00023148248617977217,0.005671320911404419,0.0,0.00023148248617977217,0.0026331132802949087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003375786256788345,0.23143426066181808,0.006520090027396917,0.0,0.016811415558805956,0.03811744939093582,0.0,0.004832196899002744,0.001514281263759343
Philippe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018113504543567173,0.08712422073591175,0.000675157251357669,0.04630614233954526,0.21017645234764232,0.0010513162913997987,0.010387776567317276,0.028289088831886328,0.00048225517954119204
Jean,0.0,0.00034722372926965824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15699335114783966,0.07528003352638009,0.0028645957664746808,0.20529602993068544,0.12980380412530726,0.006510444923806093,0.03522391831368867,0.021846159633216,0.0016589578176217006
Nathalie,0.0006848023549484928,0.1578614104710138,0.001466055745805224,0.0005594160082677828,0.19676011325280635,0.0007523180800842596,0.0002989982113155391,0.02819263779597809,0.000491900283132016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geert,0.0,0.0003182884184971868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010059843045229267,0.1947153512915517,0.0,0.0,0.0020447619612546544,0.0,0.0,0.0012635085703979233,0.0
Martine,0.03858041436329536,0.18958415618123342,0.0,0.04124246295436274,0.09889124711671685,0.0,0.009924811594957733,0.012625440600388409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rita,0.18728862152661735,0.10055985003792937,0.0007619631836750834,0.01765053957120763,0.016743899833670188,0.0007812533908567311,0.0028260153521113855,0.003742300193239651,0.0007523180800842596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willy,0.0002893531077247152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18525350466895352,0.03878296153870267,0.0,0.02588745803777119,0.008159757637836969,0.0,0.004581424205641325,0.0013599596063061617,0.0
Marleen,0.03722045475698921,0.18038272735558747,0.0,0.00048225517954119204,0.0021412129971628926,0.0,0.0,0.0011091869129447418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isabelle,0.0023919856905243128,0.08455862318075262,0.0019965364433005353,0.0040220081973735425,0.17615817198280664,0.0010127358770365034,0.0016878931283941725,0.022704573852799323,0.0005594160082677828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013117340883520424,0.1710366219760792,0.0006558670441760212,0.0,0.0012345732596254517,0.0,0.0,0.001388894917078633,0.0
Els,0.0003858041436329537,0.1663491016309388,0.0002507726933614199,0.0,0.0013599596063061617,0.0,0.0,0.0010030907734456796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hilde,0.010175584288319153,0.16245247978024596,0.0,0.0004533198687687206,0.0015625067817134622,0.0,0.0,0.0010706064985814463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033661411531975207,0.05166881993604332,0.013059470261975481,0.005391612907270527,0.15782283005665051,0.021624322250627052,0.0006269317334035498,0.031915647782036094,0.004513908480505558
Steven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044367476517789665,0.15693548052629472,0.0011284771201263894,0.0,0.013638176477424912,0.001514281263759343,0.0,0.002951401698792095,0.0002700629005430676
Jozef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15679080397243236,0.05901838887225108,0.0008198338052200266,0.0023534052761610175,0.0007523180800842596,0.0,0.00133102429553369,0.000858414219583322,0.0
Sofie,0.0,0.1543891731783172,0.008960301235875347,0.0,0.0014081851242602808,0.0002797080041338914,0.0,0.0015528616781226383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olivier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006558670441760212,0.06621363615100567,0.0071373766572096434,0.0011863477416713326,0.15237334652783505,0.0023437601725701937,0.0006269317334035498,0.028655602768337632,0.0011863477416713326
Monique,0.15104232223230135,0.060088995370832524,0.0,0.10905718630144517,0.03401828036483569,0.0,0.02166290266499035,0.003819461021966241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christophe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047261007595036827,0.09069290906451659,0.0007040925621301404,0.00023148248617977217,0.15068545339944087,0.0009741554626732079,0.0,0.01822924578665706,0.00023148248617977217
Nancy,0.00170718333557582,0.15035751987735288,0.0003279335220880106,0.0003568688328604821,0.038676865399203605,0.0003375786256788345,0.0002604177969522437,0.004407812341006496,0.0002025471754073007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1486310463345954,0.005623095393450299,0.0,0.0646125489549289,0.002507726933614199,0.0,0.01132335161562719,0.002073697272027126
