name,count,age,gender
MÁRIA,202407,>60,female
ERZSÉBET,151804,>60,female
ILONA,101455,>60,female
ISTVÁN,97654,>60,male
LÁSZLÓ,95256,>60,male
JÓZSEF,94536,>60,male
KATALIN,78742,>60,female
JÁNOS,78288,>60,male
ÉVA,72459,>60,female
MARGIT,66684,>60,female
ANNA,62016,>60,female
SÁNDOR,56922,>60,male
LÁSZLÓ,56179,51-60,male
FERENC,55376,>60,male
JULIANNA,48714,>60,female
ISTVÁN,46527,51-60,male
ZSUZSANNA,46224,>60,female
ZOLTÁN,43102,51-60,male
MÁRIA,42568,51-60,female
JÓZSEF,42330,51-60,male
IRÉN,41880,>60,female
GÁBOR,40415,31-40,male
ÉVA,38135,51-60,female
TAMÁS,36468,31-40,male
JÁNOS,36274,51-60,male
MAGDOLNA,35173,>60,female
KATALIN,34797,51-60,female
ZOLTÁN,33935,31-40,male
ERZSÉBET,33055,51-60,female
PÉTER,32889,31-40,male
LAJOS,32741,>60,male
LÁSZLÓ,32533,31-40,male
IMRE,32094,>60,male
ILDIKÓ,31382,51-60,female
ATTILA,30128,51-60,male
ZOLTÁN,30116,>60,male
SÁNDOR,29799,51-60,male
ERIKA,29183,51-60,female
ZSUZSANNA,28617,51-60,female
GYÖRGY,28616,>60,male
ÁGNES,27563,>60,female
ATTILA,27210,31-40,male
ISTVÁN,26819,31-40,male
FERENC,26786,51-60,male
TIBOR,26486,51-60,male
JUDIT,26024,>60,female
ROZÁLIA,25712,>60,female
DÁVID,25137,21-30,male
GYULA,24737,>60,male
PIROSKA,24374,>60,female
TIBOR,24352,>60,male
ANDRÁS,23316,>60,male
ZSOLT,22833,31-40,male
KÁROLY,22492,>60,male
KLÁRA,22454,>60,female
MIHÁLY,22447,>60,male
TAMÁS,22397,21-30,male
JUDIT,21959,51-60,female
BÉLA,21685,>60,male
GÁBOR,21654,51-60,male
ANDREA,21438,51-60,female
MÁRTA,21363,>60,female
DÁNIEL,21293,21-30,male
ZSOLT,20694,51-60,male
GIZELLA,20589,>60,female
EDIT,20386,>60,female
GÁBOR,20161,>60,male
CSABA,19994,51-60,male
KATALIN,19738,31-40,female
TERÉZIA,19490,>60,female
JÁNOS,19456,31-40,male
ILONA,19379,51-60,female
ÁGNES,19329,51-60,female
JÓZSEF,19132,31-40,male
BALÁZS,18722,31-40,male
ÁDÁM,18605,21-30,male
ANITA,18456,31-40,female
BENCE,18028,11-20,male
PÉTER,17999,21-30,male
IBOLYA,17861,>60,female
ANDREA,17666,31-40,female
ALEXANDRA,17586,21-30,female
SÁNDOR,16757,31-40,male
BENCE,16540,21-30,male
ILDIKÓ,16260,>60,female
CSABA,16234,31-40,male
PÉTER,16113,>60,male
ZOLTÁN,16080,21-30,male
LÁSZLÓ,16063,21-30,male
GÁBOR,16055,21-30,male
NORBERT,16035,31-40,male
ANDRÁS,16025,31-40,male
KRISZTINA,15890,31-40,female
MIKLÓS,15785,>60,male
MÁTÉ,15646,11-20,male
IMRE,15339,51-60,male
EDIT,15250,51-60,female
ÉVA,15198,31-40,female
PÉTER,15168,51-60,male
ZSUZSANNA,15091,31-40,female
ÁGNES,14676,31-40,female
TAMÁS,14615,51-60,male
ATTILA,14605,21-30,male
PÁL,14490,>60,male
TÍMEA,14324,31-40,female
MÓNIKA,14289,31-40,female
JOLÁN,14193,>60,female
JUDIT,14042,31-40,female
DÁVID,14041,11-20,male
ÁDÁM,13794,31-40,male
ANNA,13741,11-20,female
DÁNIEL,13735,11-20,male
KRISZTIÁN,13706,31-40,male
BALÁZS,13511,21-30,male
VIVIEN,13506,21-30,female
FERENC,13493,31-40,male
MÁTÉ,13490,21-30,male
LAJOS,13468,51-60,male
GABRIELLA,13389,51-60,female
GYÖRGY,13244,51-60,male
VIKTÓRIA,13141,21-30,female
MÁRK,13134,21-30,male
ISTVÁN,13102,21-30,male
TIBOR,13097,31-40,male
ANIKÓ,13062,51-60,female
RÓBERT,13049,31-40,male
KRISZTIÁN,12979,21-30,male
DÓRA,12946,21-30,female
NIKOLETT,12943,21-30,female
ETELKA,12782,>60,female
LEVENTE,12711,11-20,male
BALÁZS,12705,11-20,male
RICHÁRD,12644,21-30,male
ERIKA,12631,>60,female
DÁVID,12534,31-40,male
ANDRÁS,12452,51-60,male
ESZTER,12402,31-40,female
SZILVIA,12389,31-40,female
ESZTER,12308,>60,female
ZSOLT,12274,21-30,male
ÁDÁM,12152,11-20,male
ANTAL,12041,>60,male
RENÁTA,11821,31-40,female
ADRIENN,11764,31-40,female
NORBERT,11711,21-30,male
GABRIELLA,11681,>60,female
ANNA,11583,51-60,female
VIKTÓRIA,11518,31-40,female
