name,">60,female",">60,male","51-60,female","51-60,male","31-40,female","31-40,male","21-30,female","21-30,male","11-20,female","11-20,male","6-10,female","6-10,male","1-5,female","1-5,male"
MÁRIA,2.553200346133372,0.0,0.536960837985867,0.0,0.11140852567870649,0.0,0.04500742975788324,0.0,0.019917805938256063,0.0,0.005815141569053861,0.0,0.004465423243915545,0.0
ERZSÉBET,1.914884491862586,0.0,0.4169620489481027,0.0,0.08514578219330489,0.0,0.0314724039366364,0.0,0.01135277095910732,0.0,0.0033175319580502497,0.0,0.002182254862139518,0.0
ILONA,1.2797726418402589,0.0,0.24445038712948972,0.0,0.042282764727697486,0.0,0.01574250906329548,0.0,0.007707270062238414,0.0,0.002686822460322066,0.0,0.0022831683817760274,0.0
ISTVÁN,0.0,1.2318261058229623,0.0,0.5869004160159846,0.0,0.33829996039144355,0.0,0.16527111678469344,0.0,0.0872271235358079,0.0,0.031535474886409225,0.0,0.027789060469903808
LÁSZLÓ,0.0,1.2015772783119187,0.0,0.7086525774574334,0.0,0.41037744179182045,0.0,0.20262173324015653,0.0,0.11492788467602977,0.0,0.04378385333229056,0.0,0.039520257127648034
JÓZSEF,0.0,1.1924950615446328,0.0,0.533958660776681,0.0,0.24133468221071247,0.0,0.12761775977032083,0.0,0.06366381670068293,0.0,0.021898233761122564,0.0,0.020157475547392775
KATALIN,0.9932665454022539,0.0,0.43893596784895267,0.0,0.24897888132317808,0.0,0.07341458553556066,0.0,0.0266790117539022,0.0,0.007959553861329686,0.0,0.005499786820189768,0.0
JÁNOS,0.0,0.9875397031628821,0.0,0.45756712641184316,0.0,0.24542167975599113,0.0,0.12325325004604179,0.0,0.06487477893632106,0.0,0.023966960913671006,0.0,0.021355823593076324
ÉVA,0.9140115899177302,0.0,0.48104213391728623,0.0,0.19171045892945893,0.0,0.06001831580381403,0.0,0.018795143032299896,0.0,0.005663771289599096,0.0,0.004528494193688364,0.0
MARGIT,0.8411646429301249,0.0,0.12100792423412945,0.0,0.018908670741890968,0.0,0.006408008496918353,0.0,0.002825578549822266,0.0,0.0008073081570920761,0.0,0.0005045675981825475,0.0
ANNA,0.7822816042222217,0.0,0.14611016224371118,0.0,0.08840024320158232,0.0,0.12109622356381139,0.0,0.17333158416565964,0.0,0.07854856084706807,0.0,0.0754202417383363,0.0
SÁNDOR,0.0,0.7180249205936742,0.0,0.3758902464560433,0.0,0.2113759810686237,0.0,0.11308621294266347,0.0,0.05810095893072035,0.0,0.021330595213167197,0.0,0.020195318117256462
FERENC,0.0,0.6985233829239188,0.0,0.33788369212294295,0.0,0.17020326505692784,0.0,0.0899013318061754,0.0,0.04909442730316187,0.0,0.018189661914480838,0.0,0.016335375991159973
JULIANNA,0.6144876494466155,0.0,0.1060853375178806,0.0,0.029454133543906212,0.0,0.01631014761125085,0.0,0.01197086626688094,0.0,0.006105267938008825,0.0,0.005777298999190169,0.0
ZSUZSANNA,0.5830783164597518,0.0,0.3609802739297491,0.0,0.19036074060432062,0.0,0.05584301892885345,0.0,0.02058635800584794,0.0,0.005260117211053058,0.0,0.004061769165369507,0.0
ZOLTÁN,0.0,0.37988894467164,0.0,0.5436968154216041,0.0,0.42806253610811873,0.0,0.20283617446938412,0.0,0.10965515327502214,0.0,0.03750198673491785,0.0,0.03296087835127492
IRÉN,0.5282822752971272,0.0,0.09857989449491521,0.0,0.014771216436794079,0.0,0.004200525254869708,0.0,0.0016146163141841521,0.0,0.00040365407854603804,0.0,0.0003027405589095285,0.0
GÁBOR,0.0,0.25431468367395854,0.0,0.2731476692761221,0.0,0.5098024870136915,0.0,0.20252081972052002,0.0,0.09402617192131772,0.0,0.033503288519321155,0.0,0.028281013878131787
TAMÁS,0.0,0.10526541517083397,0.0,0.1843563861859483,0.0,0.46001427926302857,0.0,0.2825200124123629,0.0,0.1440288209012082,0.0,0.04957376652143529,0.0,0.041626826850060174
