name,count,gender
ANNA,1053032,female
PIOTR,694913,male
KRZYSZTOF,649962,male
KATARZYNA,606814,female
MARIA,601501,female
MAŁGORZATA,581732,female
ANDRZEJ,552430,male
AGNIESZKA,549842,female
TOMASZ,539395,male
PAWEŁ,509349,male
JAN,493283,male
BARBARA,491058,female
MICHAŁ,490588,male
EWA,481613,female
MARCIN,451581,male
MAGDALENA,434596,female
ELŻBIETA,425218,female
KRYSTYNA,423395,female
JAKUB,416804,male
JOANNA,405877,female
ADAM,401076,male
ALEKSANDRA,387570,female
MAREK,386516,male
STANISŁAW,384927,male
ŁUKASZ,384626,male
GRZEGORZ,379321,male
MONIKA,378843,female
ZOFIA,377324,female
MATEUSZ,375489,male
TERESA,343267,female
WOJCIECH,333428,male
DANUTA,307054,female
NATALIA,302557,female
JULIA,297080,female
KAROLINA,290795,female
MARIUSZ,289842,male
DARIUSZ,288089,male
MARTA,287039,female
BEATA,281453,female
ZBIGNIEW,273220,male
DOROTA,270009,female
MACIEJ,267630,male
RAFAŁ,262926,male
ROBERT,260967,male
JERZY,251903,male
KAMIL,250459,male
HALINA,248784,female
ALICJA,248771,female
JADWIGA,245923,female
JOLANTA,240095,female
JANINA,237595,female
DAWID,235973,male
JACEK,234901,male
IWONA,234048,female
SZYMON,233342,male
GRAŻYNA,232872,female
PAULINA,223618,female
IRENA,223093,female
JÓZEF,222884,male
KACPER,221892,male
JUSTYNA,216972,female
ZUZANNA,214101,female
RYSZARD,213382,male
TADEUSZ,212578,male
BOŻENA,202404,female
BARTOSZ,202162,male
WIKTORIA,200469,female
HANNA,194692,female
JAROSŁAW,193289,male
ARTUR,191209,male
RENATA,189245,female
URSZULA,188192,female
SŁAWOMIR,187960,male
JANUSZ,187909,male
SEBASTIAN,185466,male
MIROSŁAW,184813,male
DAMIAN,183726,male
AGATA,183046,female
SYLWIA,182937,female
PATRYK,179254,male
HELENA,172745,female
HENRYK,172554,male
MAJA,169624,female
PATRYCJA,169015,female
DANIEL,167276,male
PRZEMYSŁAW,166194,male
KAROL,165244,male
ROMAN,164910,male
FILIP,162071,male
ANTONI,161690,male
IZABELA,159304,female
EMILIA,156491,female
KAZIMIERZ,154376,male
ANETA,151953,female
OLIWIA,151489,female
WERONIKA,150185,female
EWELINA,148166,female
ADRIAN,147761,male
ALEKSANDER,144324,male
WIESŁAW,143949,male
MARTYNA,140935,female
MARIAN,139103,male
KLAUDIA,138373,female
ARKADIUSZ,134303,male
DOMINIK,132383,male
GABRIELA,131212,female
FRANCISZEK,130248,male
MARZENA,129989,female
MIKOŁAJ,127033,male
MARIANNA,126854,female
BARTŁOMIEJ,124872,male
LENA,122349,female
DOMINIKA,121431,female
STANISŁAWA,121294,female
KINGA,119903,female
AMELIA,117578,female
LESZEK,116842,male
EDYTA,114473,female
KRYSTIAN,111241,male
WIKTOR,110496,male
WALDEMAR,109965,male
KAMILA,109331,female
WIESŁAWA,108868,female
RADOSŁAW,103971,male
ZDZISŁAW,99873,male
WANDA,98568,female
BOGDAN,97051,male
KONRAD,90698,male
HUBERT,87450,male
ALINA,87203,female
EDWARD,86096,male
IGOR,85862,male
LIDIA,83206,female
MIECZYSŁAW,82763,male
MARIOLA,82692,female
LUCYNA,82117,female
WŁADYSŁAW,78312,male
NIKOLA,75549,female
OSKAR,73207,male
MILENA,73094,female
DARIA,72830,female
WIOLETTA,72771,female
MIROSŁAWA,71902,female
CZESŁAW,71726,male
MARCEL,71533,male
OLEKSANDR,69767,male
EUGENIUSZ,66252,male
ANGELIKA,64893,female
MAKSYMILIAN,64172,male
LAURA,62929,female
BOGUSŁAW,61611,male
MIŁOSZ,60969,male
IRENEUSZ,60925,male
ANTONINA,60599,female
KAZIMIERA,60121,female
STEFAN,59388,male
BOGUMIŁA,56474,female
WITOLD,56429,male
ZYGMUNT,55909,male
GENOWEFA,55547,female
OLGA,55163,female
SYLWESTER,54631,male
SANDRA,53881,female
ILONA,51974,female
MICHALINA,51968,female
NIKODEM,51953,male
OLIWIER,51813,male
