year,gender,name,n
2019,female,ANNA,1063017
2019,female,MARIA,625353
2019,female,KATARZYNA,609363
2019,female,MAŁGORZATA,586619
2019,female,AGNIESZKA,552814
2019,female,BARBARA,504920
2019,female,EWA,488429
2019,female,KRYSTYNA,451241
2019,female,ELŻBIETA,438050
2019,female,MAGDALENA,433736
2019,female,JOANNA,407745
2019,female,ZOFIA,387853
2019,female,ALEKSANDRA,382494
2019,female,MONIKA,380271
2019,female,TERESA,364266
2019,female,DANUTA,320605
2019,female,"NATALIA",292987
2019,female,KAROLINA,288558
2019,female,MARTA,287554
2019,female,BEATA,283239
2019,female,JULIA,278918
2019,female,DOROTA,271835
2019,female,JANINA,268240
2019,female,JADWIGA,266077
2019,female,HALINA,263899
2019,female,JOLANTA,243913
2019,female,IRENA,243010
2019,female,ALICJA,241223
2019,female,GRAŻYNA,238673
2019,female,IWONA,235771
2019,female,PAULINA,222565
2019,female,JUSTYNA,217181
2019,female,BOŻENA,207126
2019,female,ZUZANNA,196520
2019,female,URSZULA,193087
2019,female,WIKTORIA,192557
2019,female,RENATA,191515
2019,female,HELENA,187446
2019,female,SYLWIA,183418
2019,female,AGATA,180883
2019,female,HANNA,173447
2019,female,PATRYCJA,168139
2019,female,IZABELA,158669
2019,female,MAJA,153055
2019,female,ANETA,152280
2019,female,EMILIA,149354
2019,female,WERONIKA,148873
2019,female,EWELINA,148248
2019,female,MARIANNA,144414
2019,female,OLIWIA,138886
2019,female,STANISŁAWA,138058
2019,female,MARTYNA,137519
2019,female,KLAUDIA,137324
2019,female,MARZENA,130690
2019,female,GABRIELA,125979
2019,female,DOMINIKA,120303
2019,female,KINGA,117881
2019,female,EDYTA,115051
2019,female,WIESŁAWA,113937
2019,female,KAMILA,108628
2019,female,LENA,108152
2019,female,WANDA,106968
2019,female,AMELIA,106956
2019,female,LUCYNA,85383
2019,female,ALINA,85098
2019,female,LIDIA,84142
2019,female,MARIOLA,83473
2019,female,MIROSŁAWA,74705
2019,female,WIOLETTA,73098
2019,female,NIKOLA,71783
2019,female,DARIA,69207
2019,female,KAZIMIERA,68307
2019,female,MILENA,68240
2019,female,GENOWEFA,65298
2019,female,ANGELIKA,64837
2019,female,BOGUMIŁA,58821
2019,female,JÓZEFA,56041
2019,female,STEFANIA,54968
2019,female,HENRYKA,54884
2019,female,OLGA,53656
2019,female,SANDRA,53231
2019,female,ANTONINA,52079
2019,female,ILONA,51322
2019,female,SABINA,50423
2019,female,REGINA,49703
2019,female,BOGUSŁAWA,49545
2019,female,LAURA,49269
2019,female,WŁADYSŁAWA,48463
2019,female,MARLENA,48192
2019,female,CZESŁAWA,47258
2019,female,MICHALINA,46003
2019,female,ANITA,45124
2019,female,ŁUCJA,45023
2019,female,"NADIA",42484
2019,female,KORNELIA,41790
2019,female,ANIELA,41249
2019,female,JAGODA,35258
2019,female,WIOLETA,34581
2019,female,IGA,33915
2019,female,NINA,33800
2019,female,LILIANA,33060
2019,female,CECYLIA,32216
2019,female,MARCELINA,32041
2019,female,ROKSANA,31380
2019,female,DAGMARA,31137
2019,female,ADRIANNA,31076
2019,female,KARINA,30972
2019,female,LEOKADIA,30813
2019,female,ZDZISŁAWA,28917
2019,female,MALWINA,28540
2019,female,POLA,28239
2019,female,BRONISŁAWA,28059
2019,female,ŻANETA,27223
2019,female,EUGENIA,26808
2019,female,SARA,26697
2019,female,ELIZA,24780
