name,"women,1970-1979","women,1950-1959","women,1960-1969","women,1940-1949","women,1980-1989","women,1990-1999","women,1930-1939","women,2000-2003","women,before 1930","male,1970-1979","male,1950-1959","male,1960-1969","male,1940-1949","male,1980-1989","male,1990-1999","male,1930-1939","male,2000-2003","male,before 1930","women,Stockholms","women,Västra Götalands","women,Skåne","women,Östergötlands","women,Uppsala","women,Gävleborgs","women,Dalarnas","women,Västernorrlands","women,Hallands","women,Jönköpings","women,Västerbottens","women,Norrbottens","women,Värmlands","women,Örebro","women,Södermanlands","women,Västmanlands","women,Kalmar","women,Kronobergs","women,Jämtlands","women,Blekinge","women,Gotlands","male,Stockholms","male,Västra Götalands","male,Skåne","male,Östergötlands","male,Uppsala","male,Gävleborgs","male,Dalarnas","male,Västernorrlands","male,Hallands","male,Jönköpings","male,Västerbottens","male,Norrbottens","male,Värmlands","male,Örebro","male,Södermanlands","male,Västmanlands","male,Kalmar","male,Kronobergs","male,Jämtlands","male,Blekinge","male,Gotlands"
Anna,0.4296820870948259,0.07341523844001946,0.19986604389277077,0.08389702612030157,0.3009526321463611,0.14544904562326263,0.0587749154300602,0.026318401675490977,0.02188927671819785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32475208425887675,0.19531615880226505,0.16349729143087954,0.05476345673502322,0.052726064711672786,0.04147255038135466,0.04154091924119863,0.03444423158939412,0.04035130107991348,0.039913740376912046,0.03750715651040416,0.03153171816004083,0.036262843261243835,0.036372233436994195,0.03218805921454298,0.03144967552822806,0.02673222419899385,0.021139651463756775,0.019580841459314168,0.017324669084463024,0.007944461513869785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eva,0.08562025480143493,0.4225043411833283,0.2701054145981395,0.25805705538955437,0.026019328929178576,0.006608083537569162,0.04003302332781663,0.0012674987819906367,0.0070922965554082815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2312508315362578,0.16162398467115466,0.1607078419492454,0.04379709161604978,0.04026925844810072,0.03715163843921549,0.03187356245926069,0.03333665605992175,0.03778063194978006,0.03138130666838408,0.0308070082456947,0.03083435578963229,0.028154296483748512,0.027197132445932876,0.03170947719563517,0.027197132445932876,0.02533749945817678,0.02010044479412837,0.016394852590584978,0.01828183312227866,0.007575269670712324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216884707313881,0.23817583853945404,0.35340429522581635,0.11532814760179975,0.11379005919219311,0.024823037943928986,0.01808678037222594,0.0022501663770170856,0.002478031326588436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20566720418264273,0.1741765073385083,0.12681056123860307,0.049184557771754935,0.03888820747925244,0.03875146975956449,0.0421562389797944,0.02942595727684643,0.0358389563302112,0.037671241774029696,0.02737489148152721,0.025775060161178216,0.03634488589305661,0.032174385442574185,0.027183458673964083,0.027607345604996718,0.027511629201215155,0.01932103979190707,0.016463221450428948,0.01722895268068146,0.006399325281395972
Peter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20322705189894819,0.1541933630630632,0.3508977807805314,0.0322713734830425,0.10629899897503498,0.02262983780430474,0.003446457362266675,0.002791345632249043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18139625893803196,0.14535219602828883,0.10598540653012857,0.04070681915110214,0.028701247362500303,0.024968307615019322,0.02405216489311007,0.02057902681303619,0.030205362279067737,0.030068624559379784,0.021030261288006415,0.021276389183444724,0.026363032355836393,0.02591179788086617,0.025474237177864727,0.022561723748511436,0.021837013834165312,0.015150539341424648,0.010214307660689722,0.014234396619515397,0.004867862820890952
Maria,0.34601292592409566,0.09863704004569832,0.33222709647502896,0.032399547517176386,0.21677077483909532,0.07738863349816988,0.011606870868790661,0.012475605989031436,0.0030619352598650214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2595965608275695,0.17691126173226726,0.12444499868800156,0.04835045768165845,0.04490466714552215,0.03356911018339125,0.03597569404989914,0.028099601395873336,0.03132661158050891,0.034786075888613995,0.033910954482611125,0.0310804836850706,0.03460831685301966,0.033965649570486305,0.03036944754269327,0.028947375257938612,0.022192531905353974,0.01865102496543612,0.015205234429299826,0.013058452230199042,0.005551551419330693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12613749114709066,0.32574718697159366,0.2637251960101417,0.31441090573041897,0.04799405500346569,0.01052451235832675,0.09296889942511098,0.0009826675950264487,0.006821706927792303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22721706880546336,0.1657397900337619,0.15213438692481104,0.04893842987631662,0.042634820998702215,0.04859658557709676,0.04609428530680731,0.041171727398041175,0.038819838619408464,0.031217221404758553,0.03615345308549348,0.03727470238693465,0.03650897115668214,0.03593467273399276,0.03486811852042677,0.031723150967603954,0.026144252004335677,0.018924500404812018,0.01925267093206309,0.014576240918735267,0.007971809057807373
Mikael,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20690137421078617,0.06387339367671917,0.3057520376467076,0.0028198287509454615,0.1487530873920472,0.051141439619419964,0.0,0.005340584755578526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14710243884029456,0.12768568264460595,0.08148200716204827,0.03962659116556736,0.028236339115561282,0.025993840512678935,0.026800593058837828,0.023136022171200817,0.02510504533470727,0.02610323068842929,0.02302663199545046,0.023245412346951176,0.023997469805234893,0.0244897255961115,0.024065838665078863,0.023997469805234893,0.01962186277522055,0.012880693194604711,0.010870648715191873,0.012128635736320998,0.003938046327012905
Johan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3032170400827264,0.03284103585697088,0.16782253535929958,0.01381431256776312,0.30489754408581504,0.16930365753151339,0.006665049774962001,0.024894245740670038,0.0017659533591779658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23387619575426644,0.16433139152097603,0.11476396813409484,0.04788554943471942,0.04210154389191922,0.026335684811898803,0.030861703333569884,0.020086771022159576,0.031572739475947215,0.034252798781831,0.028441445695093208,0.025802407705115805,0.02721080621790167,0.029808822891972685,0.026376706127805186,0.025966492968741345,0.024011143577203686,0.01793998882305879,0.012060266876477021,0.015027475393705495,0.0056335940511434614
Fredrik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2876652572744817,0.006465667944087068,0.075152708680501,0.0027771040729008337,0.2147911980896942,0.12774678735343833,0.0006551117300176325,0.012504089107727856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15709796614948357,0.11551602559237856,0.08673273559806548,0.03700122694755875,0.028701247362500303,0.02023718251381632,0.020209834969878732,0.01728364776855664,0.024380335420361145,0.024517073140049094,0.020510657953192214,0.017242626452650255,0.02031922514562909,0.020196161197909932,0.018965521720718404,0.01806305277077794,0.015970965659552337,0.011786791437101126,0.009571640378156367,0.010610847047784772,0.00392437255504411
Lena,0.07156383572475225,0.27923425414034175,0.2632837076703472,0.13142110966527634,0.025919638013741114,0.005625415942542715,0.009684260356782394,0.0007690442048033078,0.0003845221024016539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14782714875464067,0.1262362628159137,0.0998048616002333,0.030738639385850728,0.027046720954276137,0.02666385533914988,0.02591179788086617,0.02223355322126036,0.028318381747374048,0.02328643366285756,0.020565353041067394,0.02018248742594114,0.02632201103993001,0.022958263135606484,0.022671113924261795,0.02064739567288016,0.020278203829722702,0.013263558809730965,0.0118551602969451,0.013400296529418914,0.006262587561708023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
